0.99927697	0.99807666
0.9992095	0.99762919
0.99913193	0.99710429
0.99904182	0.99648844
0.99893653	0.99576867
0.99881306	0.9949312
0.9986673	0.99395755
0.99849418	0.99282575
0.99828792	0.99151439
0.99804062	0.98999272
0.99774241	0.98822597
0.99738251	0.9861813
0.99694256	0.9837941
0.99640583	0.98102287
0.9957452	0.97778788
0.99492922	0.97401035
0.99391827	0.96959874
0.99265783	0.96442813
0.99108712	0.95838628
0.9891207	0.95131003
0.98664486	0.94299382
0.98354121	0.93328204
0.97961765	0.92186594
0.97467846	0.90852536
0.96845663	0.89294754
0.96064792	0.87484435
0.95086013	0.85385199
0.93859003	0.82952686
0.92337748	0.80166377
0.90451315	0.76975155
0.88149167	0.73377989
0.85355021	0.69343823
0.82009606	0.64878355
0.78046702	0.59984469
0.73477683	0.54757571
0.68200565	0.49159446
0.62391329	0.43435271
0.5605989	0.37628081
